id,market_id,market_name,title,url,image_url,price,quantity_value,quantity_unit,normalized_price,normalized_unit,price_display,availability,normalization_status,search_query,cep,collected_at
cd7bbdf2-7ef5-480f-b458-a751125b0f8d,carrefour,Carrefour,Arroz Branco Longo-fino Tipo 1 Empório São João 5Kg,https://mercado.carrefour.com.br/arroz-branco-longo-fino-tipo-1-emporio-sao-joao-5kg-8459584/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/208592-200-auto/8459584_1.jpg?v=637272507337800000&quality=5&width=200&height=200,28.09,5.0,kg,5.62,kg,"R$ 5,62/kg",available,success,arroz 5 kg,,2025-12-31T22:03:39.764072
dae7b073-3aab-42c7-b2b5-79cfb984d1c8,carrefour,Carrefour,Arroz Branco Longo-fino Tipo 1 Tio João 5 Kg,https://mercado.carrefour.com.br/arroz-branco-longo-fino-tipo-1-tio-joao-5-kg/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/211136-200-auto/115690_1.jpg?v=637272513228570000&quality=5&width=200&height=200,28.49,5.0,kg,5.7,kg,"R$ 5,70/kg",available,success,arroz 5 kg,,2025-12-31T22:03:39.292011
52f12b05-3b6a-4027-bf98-7784e69d3c34,pao_acucar,Pão de Açúcar,Arroz EMPÓRIO SÃO JOÃO Tipo 1 5 Kg,https://www.paodeacucar.com/produto/347009/p,,30.49,5.0,kg,6.1,kg,"R$ 6,10/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
fabd729e-dba4-4f1e-b671-a640a229e477,carrefour,Carrefour,Arroz Parboilizado Longo-fino Tipo 1 Prato Fino 5 Kg,https://mercado.carrefour.com.br/arroz-parboilizado-longo-fino-tipo-1-prato-fino-5-kg-7043228/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/193579-200-auto/7043228_1.jpg?v=637272430414630000&quality=5&width=200&height=200,31.19,5.0,kg,6.24,kg,"R$ 6,24/kg",available,success,arroz 5 kg,,2025-12-31T22:03:39.810122
98a53476-d0e2-4cb0-9cee-1ef218287eb3,pao_acucar,Pão de Açúcar,Arroz Camil Tipo 1 Pacote 2kg,https://www.paodeacucar.com/produto/195371/p,,12.99,2.0,kg,6.5,kg,"R$ 6,50/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
5aaab1bc-6b20-461e-96dd-4e69b543c840,pao_acucar,Pão de Açúcar,Arroz Agulhinha Tipo 1 CAMIL Pacote 1kg,https://www.paodeacucar.com/produto/99080/p,,6.59,1.0,kg,6.59,kg,"R$ 6,59/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
a5d620ef-adb8-4c1c-abd2-5c315eb73712,pao_acucar,Pão de Açúcar,Arroz Agulhinha Tipo 1 PRATO FINO Pacote 1kg,https://www.paodeacucar.com/produto/21713/p,,6.69,1.0,kg,6.69,kg,"R$ 6,69/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
768324b0-9c76-4fcf-8acd-31ecd8b0be99,pao_acucar,Pão de Açúcar,Arroz Agulhinha Tipo 1 Longo Fino CAMIL Reserva Especial Pacote 5kg,https://www.paodeacucar.com/produto/114449/p,,34.99,5.0,kg,7.0,kg,"R$ 7,00/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
282591e3-a06a-433d-830e-fe7599d8290c,pao_acucar,Pão de Açúcar,Arroz Agulhinha Tipo 1 Prato Fino Pacote 5kg,https://www.paodeacucar.com/produto/61036/p,,36.49,5.0,kg,7.3,kg,"R$ 7,30/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
8537b433-c1a6-4863-8b57-086057062166,pao_acucar,Pão de Açúcar,Arroz Agulhinha Longo Fino Tipo 1 TIO JOÃO Pacote 2kg,https://www.paodeacucar.com/produto/168429/p,,14.79,2.0,kg,7.4,kg,"R$ 7,40/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
